12497 33131 0 0 0 0 0 0 0 0 
4420 36946 0 0 0 0 0 0 0 0 
9878 33901 0 0 0 0 0 0 0 0 
2947 36946 0 0 0 0 0 0 0 0 
109 8204 0 0 0 0 0 0 0 0 
35103 35703 0 0 0 0 0 0 0 0 
12349 12349 0 0 0 0 0 0 0 0 
31757 31690 0 0 0 0 0 0 0 0 
37072 36967 0 0 0 0 0 0 0 0 
35956 35371 0 0 0 0 0 0 0 0 
36967 36951 0 0 0 0 0 0 0 0 
36951 36967 0 0 0 0 0 0 0 0 
1425 5275 0 0 0 0 0 0 0 0 
36967 10597 0 0 0 0 0 0 0 0 
13505 20771 0 0 0 0 0 0 0 0 
37061 37061 0 0 0 0 0 0 0 0 
638 638 0 0 0 0 0 0 0 0 
3972 3972 0 0 0 0 0 0 0 0 
37072 37072 0 0 0 0 0 0 0 0 
37094 5887 0 0 0 0 0 0 0 0 
14174 2156 0 0 0 0 0 0 0 0 
37072 37072 0 0 0 0 0 0 0 0 
772 1260 0 0 0 0 0 0 0 0 
36967 36977 0 0 0 0 0 0 0 0 
37111 37094 0 0 0 0 0 0 0 0 
7335 36949 0 0 0 0 0 0 0 0 
37072 34472 0 0 0 0 0 0 0 0 
36967 17982 0 0 0 0 0 0 0 0 
36951 36967 0 0 0 0 0 0 0 0 
32499 32909 0 0 0 0 0 0 0 0 
36967 36967 0 0 0 0 0 0 0 0 
5633 35535 0 0 0 0 0 0 0 0 
36967 36967 0 0 0 0 0 0 0 0 
36951 13989 0 0 0 0 0 0 0 0 
16444 36094 0 0 0 0 0 0 0 0 
8264 12221 0 0 0 0 0 0 0 0 
34926 36477 0 0 0 0 0 0 0 0 
1831 37198 0 0 0 0 0 0 0 0 
36962 36962 0 0 0 0 0 0 0 0 
36971 36971 0 0 0 0 0 0 0 0 
35310 35427 0 0 0 0 0 0 0 0 
37260 37244 0 0 0 0 0 0 0 0 
34667 258 0 0 0 0 0 0 0 0 
36971 36962 0 0 0 0 0 0 0 0 
16444 4627 0 0 0 0 0 0 0 0 
3916 3916 0 0 0 0 0 0 0 0 
36479 5736 0 0 0 0 0 0 0 0 
32426 32426 0 0 0 0 0 0 0 0 
